timestamp,pitch,roll,heading,lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,temp,humidity,pressure
2026-06-25 11:50:31,60.5,82.6,84.3,0.08,0.13,0.12,0.0055,0.024,-0.0262,0,0,0
2026-06-25 11:50:33,-25.1,72.9,100.7,-1.58,0.36,0.05,0.4156,-1.1912,-0.4592,0,0,0
2026-06-25 11:50:35,-69.2,81.1,106.1,0.69,0.16,0.11,0.2138,-0.5618,0.5923,0,0,0
2026-06-25 11:50:37,32.1,57.9,84.6,2.01,-1.12,1.37,0.0818,-1.093,0.096,0,0,0
2026-06-25 11:50:39,-25.8,76.2,95.4,-0.93,0.45,-0.11,0.1244,0.2334,-0.5411,0,0,0
2026-06-25 11:50:41,149.0,64.8,74.1,-0.86,0.01,-0.42,0.2465,0.5072,-0.0098,0,0,0
2026-06-25 11:50:43,-64.4,51.9,84.6,-0.76,-0.03,1.31,0.625,1.3494,0.1004,0,0,0
2026-06-25 11:50:45,3.4,83.1,80.6,-1.15,0.64,-0.17,0.0033,-1.8446,0.3709,0,0,0
2026-06-25 11:50:47,-135.8,75.2,100.4,-1.33,0.25,0.02,0.9392,-0.7014,-0.9447,0,0,0
2026-06-25 11:50:49,176.6,76.2,302.6,-0.1,0.64,0.36,2.1904,0.12,0.613,0,0,0
2026-06-25 11:50:51,1.3,48.5,128.1,-0.22,0.44,0.24,1.7824,-0.0938,2.1817,0,0,0
2026-06-25 11:50:53,42.6,77.2,87.6,-0.04,0.4,0.04,-1.0461,-0.3196,-0.2007,0,0,0
2026-06-25 11:50:55,68.9,81.7,98.7,0.19,0.26,0.23,-0.0065,-0.0567,0.0109,0,0,0
